id,name,popularity,followers,genres,user
20sxb77xiYeusSH8cVdatc,Meek Mill,74,8299305,rap,M
23DYJsw4uSCguIqiTIDtcN,Southside,59,189384,chicago drill,M
2A1dxDBORVkkbHJDVDOhed,Free Party,47,56049,"drill, uk drill",M
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,67,1363385,"indie, singer-songwriter",I
2CnhqfjUG0qzsru0SMuhrk,Title Fight,65,644016,"emo, melodic hardcore, midwest emo, post-hardcore, shoegaze",C
2GkzAz3xr5IasfL5ukwDb9,No Clear Mind,40,47628,post-rock,C
2IEnjZsVDEPKUTxNinyqba,Tiffany Gouché,44,33138,"r&b, soul",M
2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,55,860868,"baroque pop, indie, indie rock",C
2OJaTm0rPZVyMA5k5s8vbh,Antoni Wit,49,2411,"classical, requiem",I
2SaIA1enj83vEmJikZdjQ3,Triathalon,41,100315,bedroom pop,C
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,69,2989589,classic rock,C
2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,70,4025731,"alternative rock, grunge, post-grunge, rock",C
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,90,45094537,"hip hop, west coast hip hop","M, I, C"
2exkZbmNqMKnT8LRWuxWgy,Moderat,56,765615,"electronica, idm",C
2gClsBep1tt1rv1CN210SO,Gabriel Fauré,62,233670,"classical, requiem",I
2gbT6GPXMis0OAkZbEQCYB,Pinegrove,63,531871,"midwest, midwest emo",I
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,85,20536143,alt,I
2hR4h1Cao2ueuI7Cx9c7V8,Cavetown,68,4462564,"bedroom pop, indie",I
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,87,10533853,melodic rap,M
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,81,8401950,"canadian hip hop, r&b, rap",M
2n6FviARgtjjimZXu18uRM,Le Tigre,62,551857,"electroclash, indie, queercore, riot grrrl",I
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,81,8025300,"big room, edm, trance",M
2p1fiYHYiXz9qi0JJyxBzN,Skepta,77,1647948,"grime, uk grime",M
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,78,5789529,rock,C
2qvGuhgaubJ02pfiKcJAdR,Juliana Chahayed,48,127394,"edm, lo-fi indie",I
2sSGPbdZJkaSE2AbcGOACx,The Marías,84,3958513,"bedroom pop, pop",I
2uYWxilOVlUdk4oV9DvwqK,Mitski,80,11137515,alt,I
2xvtxDNInKDV4AvGmjw6d1,Bladee,69,636868,"cloud rap, hyperpop",I
