id,name,popularity,followers,genres,user,detected category
1rAv1GhTQ2rmG94p9lU3rB,Julian Casablancas,63,604304,indie,I,Alternative/Indie
1t20wYnTiAT0Bs7H1hv9Wt,EDEN,61,1006702,alt,I,Alternative/Indie
1tG7s7S4sq2eFFW0QZyLbm,Sheff G,65,1237929,"brooklyn drill, drill, new york drill",M,Hip Hop/Rap
1tHzhv6nGl2i5ZaSSFiwK7,You'll Never Get to Heaven,54,120912,"dream pop, shoegaze",C,Pop; Rock/Metal
1tnjjbgszXYa8BbyTzwM0w,Whirr,55,347606,"dream pop, shoegaze, slowcore",C,Pop; Rock/Metal
1vCWHaC5f2uS3yhpwWbIA6,Avicii,81,23467417,edm,I,Electronic
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,76,9989805,"grunge, post-grunge, rock",C,Rock/Metal
1xA7r3Y1UGCp3rQMkgFXz4,Faramarz Aslani,39,141452,"iranian pop, persian pop",M,International; Pop
1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,64,292148,"rap, trap",M,Hip Hop/Rap
1ymHnk986duca17oMSDzwb,Christine Croshaw,28,204,"classical, classical piano",I,Classical
1zg9SzoXC2U50P7Q403Alo,Phantom Handshakes,34,8045,"dream pop, shoegaze",C,Pop; Rock/Metal
20sxb77xiYeusSH8cVdatc,Meek Mill,74,8299305,rap,M,Hip Hop/Rap
23DYJsw4uSCguIqiTIDtcN,Southside,59,189384,chicago drill,M,Hip Hop/Rap
2A1dxDBORVkkbHJDVDOhed,Free Party,47,56049,"drill, uk drill",M,Hip Hop/Rap
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,67,1363385,"indie, singer-songwriter",I,Alternative/Indie
2CnhqfjUG0qzsru0SMuhrk,Title Fight,65,644016,"emo, melodic hardcore, midwest emo, post-hardcore, shoegaze",C,Alternative/Indie; Rock/Metal
2GkzAz3xr5IasfL5ukwDb9,No Clear Mind,40,47628,post-rock,C,Rock/Metal
2IEnjZsVDEPKUTxNinyqba,Tiffany Gouché,44,33138,"r&b, soul",M,R&B
2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,55,860868,"baroque pop, indie, indie rock",C,Alternative/Indie; Rock/Metal
2OJaTm0rPZVyMA5k5s8vbh,Antoni Wit,49,2411,"classical, requiem",I,Classical
2SaIA1enj83vEmJikZdjQ3,Triathalon,41,100315,bedroom pop,C,Pop
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,69,2989589,classic rock,C,Rock/Metal
2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,70,4025731,"alternative rock, grunge, post-grunge, rock",C,Alternative/Indie; Rock/Metal
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,90,45094537,"hip hop, west coast hip hop","M, I, C",Hip Hop/Rap
2exkZbmNqMKnT8LRWuxWgy,Moderat,56,765615,"electronica, idm",C,Electronic
