id,name,popularity,followers,genres,user,detected category
6extd4B6hl8VTmnlhpl2bY,Huncho Jack,56,1200857,"rap, trap",M,Hip Hop/Rap
6fFcUOFcbjeIuEomuUthkw,Oklou,63,230930,"art pop, hyperpop",I,Electronic; Pop
6g0mn3tzAds6aVeUYRsryU,The War On Drugs,60,1010333,indie rock,C,Alternative/Indie; Rock/Metal
6hG0VsXXlD10l60TqiIHIX,Ecco2k,61,352318,"cloud rap, hyperpop",I,Electronic; Hip Hop/Rap; Pop
6i392l38cR3uBPF0DbNs7S,Quality Control,66,1620767,"hip hop, trap",M,Hip Hop/Rap
6icQOAFXDZKsumw3YXyusw,Lil Yachty,77,10950456,"melodic rap, rap","M, I",Hip Hop/Rap
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,76,10274995,"brooklyn drill, melodic rap",M,Hip Hop/Rap
6lcwlkAjBPSKnFBZjjZFJs,Alex G,76,3611920,indie,"I, C",Alternative/Indie
6ngR3n1aQ7GLB5w46hqSWR,David Fray,48,12461,"classical, classical piano",I,Classical
6oMuImdp5ZcFhWP0ESe6mG,Migos,75,14692907,trap,M,Hip Hop/Rap
6olE6TJLqED3rqDCT0FyPh,Nirvana,83,23655349,"grunge, rock",I,Rock/Metal
6rUez8y21xlLrYKExcXB1X,ISO Supremacy,55,4845,dark r&b,M,R&B
6rX8AFY10dsJkJsv23Z9Um,Karnivool,49,243319,"alternative metal, djent, progressive metal, progressive rock",C,Alternative/Indie; Rock/Metal
6tIWNVs4HVdJCZai0rxYr4,Miriam Keogh,47,257,indie,I,Alternative/Indie
6tYmTHApvspl6KAgTfHjAY,bar italia,49,86285,lo-fi indie,C,Alternative/Indie
6uCXq7IoXFqGSB3L5zX5oV,Trevor Spitta,41,23808,"hip hop, rap",M,Hip Hop/Rap
6zvul52xwTWzilBZl6BUbT,Pixies,70,3586665,"alt, alternative rock",I,Alternative/Indie; Rock/Metal
72NhFAGG5Pt91VbheJeEPG,2hollis,72,577572,"electroclash, hyperpop",I,Electronic; Pop
72X6FHxaShda0XeQw3vbeF,Slowdive,66,1390553,"dream pop, shoegaze, slowcore",C,Pop; Rock/Metal
72ltK39qT3DgtiCZgOAaGs,SNUPE BANDZ,48,26926,"southern hip hop, trap",M,Hip Hop/Rap
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,80,14663512,"hip-hop, r&b, rap",C,Hip Hop/Rap; R&B
75dQReiBOHN37fQgWQrIAJ,Local Natives,54,663128,indie,C,Alternative/Indie
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86,21902102,indie,"I, C",Alternative/Indie
77mJc3M7ZT5oOVM7gNdXim,Her's,65,1212035,indie,C,Alternative/Indie
78SHxLdtysAXgywQ4vE0Oa,Bush,65,2120682,"grunge, post-grunge",C,Rock/Metal
78sEozQOEJxzXegUuqRSgH,Daniel Barenboim,63,155366,"chamber music, classical, classical piano, opera",I,Classical
7CajNmpbOovFoOoasH2HaY,Calvin Harris,85,23122521,edm,M,Electronic
7E74ReKi0BpodmTTNRY4nF,Vasilis Dokakis,2,453,"alternative, indie, post-rock",C,Alternative/Indie; Rock/Metal
7FPO7WTShHCXnmVv7lhhZM,Nana Grizol,35,47196,"anti-folk, folk, folk punk",I,Folk
7GuUYiGZOzQwq4L6gAfy1T,SahBabii,58,759410,melodic rap,M,Hip Hop/Rap
7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,71,3339226,"alternative dance, electroclash, new rave, witch house",C,Alternative/Indie; Electronic
7KJSk2ytUFik1LGqFGHOLW,Clarion,52,46111,shoegaze,C,Rock/Metal
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,86,32398889,"garage rock, indie",I,Alternative/Indie; Rock/Metal
7bu3H8JO7d0UbMoVzbo70s,The Cure,77,6726472,"darkwave, gothic rock, new wave, post-punk",C,Pop; Rock/Metal
7dGJo4pcD2V6oG8kP0tJRR,Eminem,90,105324431,"hip hop, rap",M,Hip Hop/Rap
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,72,6970203,"rap, trap",M,Hip Hop/Rap
7j1EFfyMGmNxaLNIrVAID4,Wray,30,6737,"dream pop, shoegaze",C,Pop; Rock/Metal
7jXUQgHvIWbra34WkJcezO,None,47,389,"bhajan, vocal",I,International; Other
7lRFrrINQTY35g8hq0kXY5,Johnny Hodges,45,50705,"cool jazz, jazz, swing music",I,Jazz
7rkW85dBwwrJtlHRDkJDAC,NAV,71,3570375,melodic rap,M,Hip Hop/Rap
7tTCdjIEm4DHFxgquKT18a,Markus Pawlik,34,375,classical,I,Classical
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,75,3581865,"classical, classical piano",I,Classical
