id,name,popularity,followers,genres,user,detected category,record_label
1DN9Pgv4fiAaRSSgiisj5G,FELIX!,53,46679,"hip hop, rap",M,Hip Hop/Rap,broke
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,75,4853539,"anime, j-pop, j-rock",I,Other; Pop,"voque ting, voque ting co,. ltd., voque ting co., ltd."
1FHDMgGdmIP4IsoFkAwbS0,River Tiber,49,79788,"pop, r&b",C,Pop; R&B,River Tiber
1G5v3lpMz7TeoW0yGpRQHr,George Clanton,59,140808,"chillwave, vaporwave",C,Electronic,"100% Electronica, 100% Electronica LLC, Blissful Serenity Industries, LLC"
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,83,8467991,"adult standards, big band, christmas, jazz, swing music, vocal, vocal jazz",I,Jazz; Other,"CAPITOL CATALOG MKT (C92), Diggers Factory, FRANK SINATRA DIGITAL REPRISE, Good Music, Mouton Recordings, WTM CLASSIC"
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,85,17635918,"dream pop, pop",I,Pop,Partisan Records
1RyvyyTE3xzB2ZywiAwp0i,Future,90,22924161,rap,M,Hip Hop/Rap,"Epic/Freebandz, Generation Now/Atlantic, Wilburn Holding Co./Boominati/Epic/Republic, Wilburn Holding Co./Epic"
1SlEW6aktLpc1N6YvdEOmF,Castillo_1st,32,16359,"latin hip hop, rap",M,Hip Hop/Rap; International,Unknown
1URnnhqYAYcrqrcwql10ft,21 Savage,86,24083002,"rap, trap",M,Hip Hop/Rap,"OVO / Republic Records, Republic Records, Slaughter Gang, LLC/Epic Records, Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic"
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,70,949186,"alternative r&b, indie pop",M,R&B,"Boom.Records, PULSE Records"
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95,114452632,"pop, r&b","M, I",Pop; R&B,"Republic Records, Universal Republic Records, XO / Republic Records"
1YzCsTRb22dQkh9lghPIrp,Billie Holiday,66,2081648,"big band, jazz, jazz blues, vocal jazz",I,Jazz,"Diggers Factory, Editions Audiovisuel Beulah, Ermitage Records, Mouton Recordings, OVC Media, Verve, Verve Reissues, Wet Music"
1ZLO8d7zll1WeQJUHaxQer,HoodRich Pablo Juan,48,533304,"southern hip hop, trap",M,Hip Hop/Rap,"Alamo, LilCJ Kasino, Mony Powr RSpt / EMPIRE, Mony Powr RSpt / Hoodrich / EMPIRE, Super"
1jwOuEBcOKq0BeudSarbEM,Amen Dunes,35,78199,"alternative, indie",C,Alternative/Indie,"Sacred Bones Records, Sub Pop Records"
1lv5lu5VRmHIsFz006l5rF,limly,51,4610,"edm, slowcore",I,Electronic,Unknown
1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,62,2138616,"art rock, proto-punk, rock",I,Rock/Metal,"ODL, Polydor, Rhino Atlantic, Rhino/Warner Records, Universal Records, Verve Reissues"
1nVq0hKIVReeaiB3xJgKf0,Molchat Doma,62,1599006,"cold wave, darkwave, gothic rock, post-punk, rock",I,Rock/Metal,Sacred Bones Records
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,66,3495297,trap,M,Hip Hop/Rap,"300 Entertainment, Interscope Records, RTK/gamma., Republic Records, Rich Forever, Rich Forever Music / EMPIRE, Rich The Kid / (TDE/ISR PS)"
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,78,3039043,indie,I,Alternative/Indie,Dead Oceans
1rAv1GhTQ2rmG94p9lU3rB,Julian Casablancas,63,604304,indie,I,Alternative/Indie,RCA Records Label
