name,id.x,popularity,followers,user,id.y,collaborators,genre,record_label
Bladee,2xvtxDNInKDV4AvGmjw6d1,69,636868,I,2xvtxDNInKDV4AvGmjw6d1,"Ecco2k, Nation, Oklou, Thaiboy Digital, Varg²™, Yung Lean","cloud rap, hyperpop","Trash Island, World Affairs, YEAR0001"
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,55,1439605,M,4TEJudQY2pXxVHPE3gD2EU,"21 Savage, Drake, HoodRich Pablo Juan, Lil Durk, Lil Uzi Vert, Moneybagg Yo, NLE Choppa, Pooh Shiesty","southern hip hop, trap","Bloc Nation, BlocBoy JB, Foundation Entertainment/Interscope Records"
Blood Orange,6LEeAFiJF8OuPx747e1wxR,72,1366600,C,6LEeAFiJF8OuPx747e1wxR,"A$AP Rocky, Skepta, Steve Lacy, Tame Impala, Yves Tumor",art pop,"Domino Recording Co, Domino Recording Co./RCA Records"
bôa,5jTtGLk1mGFMY5lQOvJYUj,69,1209598,C,5jTtGLk1mGFMY5lQOvJYUj,,alternative rock,Nettwerk Music Group
Bob Seger,485uL27bPomh29R4JmQehQ,69,2904844,C,485uL27bPomh29R4JmQehQ,,classic rock,"Bob Seger, Capitol Records (CAP)"
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,77,3957626,C,4LEiUm1SRbFMgfqnQTwUbQ,,"experimental pop, indie folk",Jagjaguwar
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,81,7991267,M,3tlXnStJ1fFhdScmQeLpuG,"21 Savage, A$AP Rocky, DJ Candlestick, Don Toliver, Drake, FELIX!, Gucci Mane, ISO Supremacy, Kanye West, Meek Mill, Tommy Richman, Tyler, The Creator",r&b,"ISO Supremacy under exclusive license to UnitedMasters LLC, Lost Kids, Lost Kids LLC., Marketed by Venice / Stem"
Bright Eyes,5o206eFLx38glA2bb4zqIU,55,647354,I,5o206eFLx38glA2bb4zqIU,,"indie, indie folk","15 Passenger, Dead Oceans, Saddle Creek, Thirsty Ear Recordings"
Bush,78SHxLdtysAXgywQ4vE0Oa,65,2120682,C,78SHxLdtysAXgywQ4vE0Oa,,"grunge, post-grunge","Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, BMG Rights Management (US) LLC, Cleopatra Records, Zuma Rock Records, earMUSIC"
Calvin Harris,7CajNmpbOovFoOoasH2HaY,85,23122521,M,7CajNmpbOovFoOoasH2HaY,"21 Savage, Ariana Grande, Frank Ocean, Future, Joel Corry, Lil Durk, Lil Yachty, Migos, Offset, Steve Lacy, The Weeknd, Tiësto, Travis Scott, Young Thug",edm,Columbia
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,67,441790,I,436sYg6CZhNefQJogaXeK0,"Antoni Wit, Christine Croshaw, Daniel Barenboim, Gabriel Fauré, Idil Biret, Polish National Radio Symphony Orchestra",classical,"Berlin Classics, Chandos Records, Paraty, UME - Global Clearing House, Warner Classics"
Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,61,909790,I,5PbpKlxQE0Ktl5lcNABoFf,,"indie rock, midwest, midwest emo","551448 Records DK, 551448 Records DK2, Matador"
Castillo_1st,1SlEW6aktLpc1N6YvdEOmF,32,16359,M,1SlEW6aktLpc1N6YvdEOmF,,"latin hip hop, rap",Unknown
Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,68,4462564,I,2hR4h1Cao2ueuI7Cx9c7V8,,"bedroom pop, indie","Oat Milk Industries and Many Hats Endeavors, Sire"
Central Cee,5H4yInM5zmHqpKIoMNAx4r,80,9864218,M,5H4yInM5zmHqpKIoMNAx4r,"21 Savage, D-Block Europe, Dave, Drake, Ed Sheeran, Fredo, Lil Baby, Lil Durk, Skepta","drill, grime, uk drill, uk grime","Central Cee, Columbia"
Chanel Beads,3x11XrMEnyP18hv73pmKRL,48,51783,C,3x11XrMEnyP18hv73pmKRL,,lo-fi indie,Jagjaguwar
Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,67,1345926,I,3rxeQlsv0Sc2nyYaZ5W71T,,"cool jazz, jazz, vocal jazz","Circle Records Germany, Diggers Factory, Elemental Music Records SL, Red records, Right Tempo, Slow Down Sounds, LLC, Timeless Records, UME - Global Clearing House, Universal Music Division Decca Records France"
Chevelle,56dO9zeHKuU5Gvfc2kxHNw,70,2195715,C,56dO9zeHKuU5Gvfc2kxHNw,,"alternative metal, nu metal, post-grunge","BMG Rights Management (US) LLC, Epic"
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,80,14663512,C,73sIBHcqh3Z3NyqHKZ7FOL,"21 Savage, Ariana Grande, Jhené Aiko, Yeat, Young Nudy","hip-hop, r&b, rap","Glassnote - VMG, Wolf+Rothstein/RCA Records"
Christine Croshaw,1ymHnk986duca17oMSDzwb,28,204,I,1ymHnk986duca17oMSDzwb,"Camille Saint-Saëns, Gabriel Fauré","classical, classical piano",Meridian Records
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,85,17635918,I,1QAJqy2dA3ihHBFIHRphZj,,"dream pop, pop",Partisan Records
CKay,048LktY5zMnakWq7PTtFrz,69,1738861,M,048LktY5zMnakWq7PTtFrz,ElGrandeToto,"afro r&b, afrobeat, afrobeats, afropop","Chocolate City Music, WM South Africa, Warner Music Africa"
Clarion,7KJSk2ytUFik1LGqFGHOLW,52,46111,C,7KJSk2ytUFik1LGqFGHOLW,,shoegaze,Unknown
Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,67,1407686,C,5Wabl1lPdNOeIn0SQ5A1mp,,"dream pop, gothic rock, shoegaze","4AD, EMI, UMC (Universal Music Catalogue)"
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,90,61329594,"M, C",4gzpq5DPGxSnKTe4SA8HAU,Tiësto,"alternative rock, pop rock","Parlophone Records Limited, Parlophone UK"
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,81,12532269,I,4Uc8Dsxct0oMqx0P6i60ea,,indie,Republic Records
Craft Spells,16lg8y62dC3J6ok1pNAbFJ,39,135354,C,16lg8y62dC3J6ok1pNAbFJ,,"chillwave, dream pop",Captured Tracks
Crumb,4kSGbjWGxTchKpIxXPJv0B,58,667420,I,4kSGbjWGxTchKpIxXPJv0B,,"alt, bedroom pop, neo-psychedelic",Crumb Records
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,71,3339226,C,7K3zpFXBvPcvzhj7zlGJdO,,"alternative dance, electroclash, new rave, witch house","Last Gang, [PIAS] Recordings Catalogue"
D-Block Europe,5VadK1havLhK1OpKYsXv9y,75,1809764,M,5VadK1havLhK1OpKYsXv9y,"Central Cee, Dave, Ed Sheeran, Kodak Black, Lil Baby, Lil Tjay, Offset, Rich The Kid, Skepta","grime, uk drill","D-Block Europe, D-Block Europe & Yxng Bane"
DaBaby,4r63FhuTkUYltbVAg5TQnk,78,13019578,M,4r63FhuTkUYltbVAg5TQnk,"21 Savage, A Boogie Wit da Hoodie, Drake, Future, Gucci Mane, Gunna, Kodak Black, Lil Baby, Lil Yachty, Meek Mill, Migos, Moneybagg Yo, Offset, Polo G, Pooh Shiesty, Quality Control, Quavo, Rich The Kid, Young Thug","rap, trap","South Coast Music Group, South Coast Music Group / Interscope Records / Atlantic Records, South Coast Music Group LLC, distributed by Interscope Records, South Coast Music Group, LLC, distributed by Interscope Records, South Coast Music Group/Interscope Records"
Daniel Barenboim,78sEozQOEJxzXegUuqRSgH,63,155366,I,78sEozQOEJxzXegUuqRSgH,"Camille Saint-Saëns, Frédéric Chopin, Gabriel Fauré, Johannes Brahms","chamber music, classical, classical piano, opera","UME - Global Clearing House, Warner Classics, Warner Music Group - X5 Music Group"
Dave,6Ip8FS7vWT1uKkJSweANQK,81,6704120,M,6Ip8FS7vWT1uKkJSweANQK,"Central Cee, D-Block Europe, Drake, Ed Sheeran, Fredo","drill, grime, uk drill, uk grime","Dave, Neighbourhood, Neighbourhood [GB] / Dave"
David Fray,6ngR3n1aQ7GLB5w46hqSWR,48,12461,I,6ngR3n1aQ7GLB5w46hqSWR,Frédéric Chopin,"classical, classical piano","Erato/Warner Classics, Warner Classics"
David Peacock,6DGLXvs8Y2RO8VfdOpFLml,44,6037,I,6DGLXvs8Y2RO8VfdOpFLml,"Augustine Mayuga Gonzales, Toby Fox",indie,"David Peacock, Materia Collective, Mecha Dream Records, infin et al."
Dean Blunt,5CFSYjc0PAiQvndFjafabk,66,465826,C,5CFSYjc0PAiQvndFjafabk,"A$AP Rocky, Joanne Robertson, jonatan leandoer96, Skepta, Vegyn",art pop,"L.A. Club Resource, Rough Trade, WORLD MUSIC, World Music"
Deftones,6Ghvu1VvMGScGpOUJBAHNH,83,7869837,"I, C",6Ghvu1VvMGScGpOUJBAHNH,,"alternative metal, edm, nu metal, rap metal, rock, shoegaze","Maverick, Reprise"
