name,id,genres,user
Blood Orange,6LEeAFiJF8OuPx747e1wxR,art pop,C
Vasilis Dokakis,7E74ReKi0BpodmTTNRY4nF,"indie, alternative",C
No Clear Mind,2GkzAz3xr5IasfL5ukwDb9,post-rock,C
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"indie folk, experimental pop",C
German Error Message,4Zjxd2hv7Hb8zJMIy8A1TM,"slowcore, lo-fi indie, ambient folk",C
Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,"grunge, rock, post-grunge",C
A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,alternative metal,C
Seether,6B5c4sch27tWHAGdarpPaW,"post-grunge, alternative metal, rock",C
Chevelle,56dO9zeHKuU5Gvfc2kxHNw,"alternative metal, nu metal, post-grunge",C
bar italia,6tYmTHApvspl6KAgTfHjAY,lo-fi indie,C
Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,"indie folk, folk, indie",C
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"classic rock, yacht rock, soft rock",C
Beach House,56ZTgzPBDge0OvCGgMO3OY,dream pop,C
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,pop,C
Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,"dream pop, shoegaze, gothic rock",C
From Indian Lakes,3YvQkjWJ5ykJVUNP7YbTy9,pop,C
empire! empire! (i was a lonely estate),3IaqcRr2teHDEqhRE5emu9,"midwest emo, math rock, emo, screamo",C
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,rap,C
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,indie rock,C
River Tiber,1FHDMgGdmIP4IsoFkAwbS0,"r&b, pop",C
Chanel Beads,3x11XrMEnyP18hv73pmKRL,lo-fi indie,C
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L,art pop,C
Dean Blunt,5CFSYjc0PAiQvndFjafabk,art pop,C
TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal",C
Karnivool,6rX8AFY10dsJkJsv23Z9Um,"progressive metal, progressive rock, djent, alternative metal",C
Whirr,1tnjjbgszXYa8BbyTzwM0w,"shoegaze, slowcore, dream pop",C
Fontaines D.C.,3SXwqSqAoBz9WCI9PDQzY6,post-punk,C
