id,name,genres,user
2exkZbmNqMKnT8LRWuxWgy,Moderat,"idm, electronica",C
2gClsBep1tt1rv1CN210SO,Gabriel Fauré,classical,I
2gbT6GPXMis0OAkZbEQCYB,Pinegrove,midwest,I
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,alt,I
2hR4h1Cao2ueuI7Cx9c7V8,Cavetown,indie,I
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,melodic rap,M
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"r&b, rap, canadian hip hop",M
2n6FviARgtjjimZXu18uRM,Le Tigre,indie,I
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"edm, trance, big room",M
2p1fiYHYiXz9qi0JJyxBzN,Skepta,"grime, uk grime",M
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,rock,C
2qvGuhgaubJ02pfiKcJAdR,Juliana Chahayed,edm,I
2sSGPbdZJkaSE2AbcGOACx,The Marías,pop,I
2uYWxilOVlUdk4oV9DvwqK,Mitski,alt,I
2xvtxDNInKDV4AvGmjw6d1,Bladee,hyperpop,I
2yEwvVSSSUkcLeSTNyHKh8,TOOL,"progressive metal, alternative metal, progressive rock, metal",C
30F64wQIHvLiFTGaNZ73nU,Sewerslvt,"breakcore, jungle, speedcore, hyperpop",C
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,melodic rap,M
34vLhockmYhf3LgznwyNaQ,POLIÇA,"alternative, indie",C
36ufPZjygPOubok9wycfl9,Död Mark,indie,I
38u18VoGaIwVeSyVoA0eU5,Hope Sandoval & The Warm Inventions,"slowcore, dream pop, art pop",C
3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,hiphop,I
3B9O5mYYw89fFXkwKh7jCS,TK from Ling tosite sigure,anime,I
3D21btY4uY8j3LYwAR7zwz,Georgian Folk,"georgian folk, folk",M
3DmG65yHQsMms7WAvrZOdt,Enigma,"new age, gregorian chant",C
3GSt4ZSP1wEtdbcTTbwjpW,Foxes In Fiction,"dream pop, shoegaze",C
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,"southern hip hop, trap",M
3IaqcRr2teHDEqhRE5emu9,empire! empire! (i was a lonely estate),"midwest emo, math rock, emo, screamo",C
3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,"progressive rock, classic rock",C
3MZsBdqDrRTJihTHQrO6Dq,Joji,alt,I
3OsRAKCvk37zwYcnzRf5XF,Moby,"downtempo, trip hop",M
3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,post-punk,C
3SoOohS0zlj8nLdGmhrKA7,Olivver the Kid,pop,I
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,indie,I
3TVXtAsR1Inumwj472S9r4,Drake,rap,M
3TdVTSmMfLh55VrJDUpIQ2,Tamaryn,"shoegaze, dream pop",C
3WaJSfKnzc65VDgmj2zU8B,Interpol,"indie rock, post-punk",C
3YvQkjWJ5ykJVUNP7YbTy9,From Indian Lakes,pop,C
3cGojc1Yu89IHXx8OeSnee,Thaiboy Digital,hyperpop,I
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"pop, soul, r&b",M
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,indie,I
3hcs9uc56yIGFCSy9leWe7,Lil Durk,"chicago drill, drill",M
3inCNiUr4R6XQ3W43s9Aqi,Pavement,alt,I
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,"indie rock, baroque pop",C
3mIj9lX2MWuHmhNCA7LSCW,The 1975,indie,I
3nnQpaTvKb5jCQabZefACI,Jeff Buckley,indie,"I, C"
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,rage rap,M
3rbtPd0NcvhO2AzMfzx90z,Fredo,"grime, uk grime, uk drill, drill",M
3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,jazz,I
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,"southern hip hop, trap, rap",M
3tM7dj8ztmzKcugbIVMxy0,The Crying Nudes,"alternative, indie",C
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,r&b,M
3uwAm6vQy7kWPS2bciKWx9,girl in red,vocal,I
3x11XrMEnyP18hv73pmKRL,Chanel Beads,lo-fi indie,C
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,rock,I
3ycxRkcZ67ALN3GQJ57Vig,Masego,"r&b, soul, alternative r&b",M
3zmfs9cQwzJl575W1ZYXeT,Men I Trust,"bedroom pop, indie pop",C
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,alt,I
41SQP16hv1TioVYqdckmxT,Real Estate,"jangle pop, dream pop, surf rock",C
42lt7Lr6m3qVIesp9pP4oH,Jaymay,indie,I
436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,classical,I
45gHcnDnMC15sgx3VL7ROG,42 Dugg,"detroit hip hop, trap",M
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,"southern hip hop, trap, rap",M
485uL27bPomh29R4JmQehQ,Bob Seger,classic rock,C
4BFLElxtBEdsdwGA1kHTsx,ElGrandeToto,"moroccan rap, moroccan pop, arabic hip hop",M
4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,alternative metal,C
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,"trap, rap",M
4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,"indie folk, folk, indie",C
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"melodic rap, rap",M
4Gso3d4CscCijv0lmajZWs,Don Toliver,"rap, trap, melodic rap",M
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,"indie folk, experimental pop",C
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,indie,I
4MdQ9btIlh6rzIMA19tu3L,Joanne Robertson,art pop,C
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,melodic rap,M
4OrizGCKhOrW6iDDJHN9xd,DIIV,"shoegaze, dream pop",C
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,"trap, southern hip hop",M
4URLjSfWtdArslMrlA5suJ,muna,"indie pop, alt pop",M
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,indie,I
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",rap,I
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,alt,"I, C"
4Zjxd2hv7Hb8zJMIy8A1TM,German Error Message,"slowcore, lo-fi indie, ambient folk",C
4g2EfgpanE2Z9LG1nQ9zNy,Varg²™,hyperpop,I
4g6EnIPhmYBTZ7vsmxDkxH,Downstait,"hard rock, alternative metal",M
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"alternative rock, pop rock","M, C"
4jSYHcSo85heWskYvAULio,Mojave 3,"slowcore, dream pop, shoegaze",C
4kSGbjWGxTchKpIxXPJv0B,Crumb,alt,I
4kZt5tLRG8CuE2xmhO9k2r,Felipe Da Don,"latin trap, latin hip hop",M
4r63FhuTkUYltbVAg5TQnk,DaBaby,"rap, trap",M
4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,classic rock,C
4wyNyxs74Ux8UIDopNjIai,King Krule,"post-punk jazz, jazz rock, indie",C
50co4Is1HCEo8bhOyUWKpn,Young Thug,"rap, melodic rap, trap",M
56ZTgzPBDge0OvCGgMO3OY,Beach House,pop,"I, C"
56dO9zeHKuU5Gvfc2kxHNw,Chevelle,"alternative metal, nu metal, post-grunge",C
579LsvZcRVKtToYjS0tkKz,Big Scarr,"trap, southern hip hop",M
57DlMWmbVIf2ssJ8QBpBau,Toby Fox,edm,I
57vWImR43h4CaDao012Ofp,Steve Lacy,indie,"I, C"
5AyEXCtu3xnnsTGCo4RVZh,Duster,edm,"I, C"
5CFSYjc0PAiQvndFjafabk,Dean Blunt,art pop,C
5D2pVmcsajqTCO3czYdzrF,PaperRoute Woo,"brooklyn drill, drill",M
5DslL3PUa3BcRlCCEP64A4,The Hellp,hyperpop,I
5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,"trap, southern hip hop",M
5H0YoDsPDi9fObFmJtTjfN,Ariel Pink,neo-psychedelic,C
5H4yInM5zmHqpKIoMNAx4r,Central Cee,"uk drill, drill, uk grime",M
5INjqkS1o8h1imAzPqGZBb,Tame Impala,"neo-psychedelic, indie","M, I"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,rap,"M, I, C"
5Kbx8AkkM7259YdQh4rTdX,A Beacon School,dream pop,C
5NXHXK6hOCotCF8lvGM1I0,Porcupine Tree,"progressive rock, progressive metal, art rock, space rock",C
5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,midwest,I
5RMUeKq0dZxg9RHE1f0B9P,Tm88,"trap, hip hop",M
5SBOWUBQdfga0xprPVBxOr,Idil Biret,classical,I
5ShFRZUGJZL1qMkIPtYV5M,Gorky's Zygotic Mynci,pop,I
5SyGEPymt1G2uto47tVWvZ,MadeinTYO,"trap, hip hop",M
5U2FH1VnxiZYbLcUVWGrov,Lady Radiator,post-hardcore,C
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,vocal,I
5VadK1havLhK1OpKYsXv9y,D-Block Europe,"grime, uk drill",M
5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,"dream pop, shoegaze, gothic rock",C
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,r&b,M
5c3GLXai8YOMid29ZEuR9y,Nick Drake,folk,I
5f7VJjfbwm532GiveGC0ZK,Lil Baby,"rap, trap, melodic rap",M
5iUnvXddCpOrbWKm7QMr6o,Vegyn,"idm, experimental hip hop",C
5iwmHxCi5pm28BEykL5Fyd,Surf Rock Is Dead,"surf rock, dream pop",C
5jTtGLk1mGFMY5lQOvJYUj,bôa,alternative rock,C
5o206eFLx38glA2bb4zqIU,Bright Eyes,indie,I
5rIiXGQsgxh3nQhEpFIbx7,Augustine Mayuga Gonzales,indie,I
5tPS5f7Gu3SaJQusdkehtE,jonatan leandoer96,rap,I
5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,classical,I
5wh9QhNjDHu546xgz3LqRF,Tirful,indie,I
5x2Ufw4gSPVw4TNcGCpFT1,Moritz Moszkowski,classical,I
5yPzzu25VzEk8qrGTLIrE1,Young Nudy,"trap, southern hip hop, rap",M
60S3PHPmmVaBxa0zrcAiHq,Hibou,dream pop,C
62QURushyB5wug2XPwajwK,Polish National Radio Symphony Orchestra,classical,I
62Xs9S1gahH6vGEJ24qdkK,Young Prisms,"shoegaze, dream pop",C
62sC6lUEWRjbFqXpMmOk4G,Fugazi,indie,I
65smG2lgnRmrDB8g7z1hG0,Paper Route EMPIRE,"trap, southern hip hop",M
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,M
66npZ0iLHcWmV2DAC8oYRF,GRAZER,"dream pop, shoegaze, lo-fi indie",C
67ea9eGLXYMsO2eYQRui3w,The Who,"classic rock, rock",C
67lytN32YpUxiSeWlKfHJ3,Yung Lean,rap,I
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,rage rap,M
69HouC7BpXVxTAFwpckJHs,La Capone,"chicago drill, drill",M
6AUl0ykLLpvTktob97x9hO,Tee Grizzley,"detroit hip hop, trap, rap",M
6AgTAQt8XS6jRWi4sX7w49,Polo G,"chicago drill, melodic rap",M
6B5c4sch27tWHAGdarpPaW,Seether,"post-grunge, alternative metal, rock",C
6DGLXvs8Y2RO8VfdOpFLml,David Peacock,indie,I
6DgP9otnZw5z6daOntINxp,Joel Corry,dance pop,M
6GEykX11lQqp92UVOQQCC7,DJ Premier,east coast hip hop,C
6Ghvu1VvMGScGpOUJBAHNH,Deftones,edm,"I, C"
6Ip8FS7vWT1uKkJSweANQK,Dave,"grime, uk grime, uk drill, drill",M
6JvU33PZ8MtZyeFTESr09O,Kap G,"trap, southern hip hop",M
6LEeAFiJF8OuPx747e1wxR,Blood Orange,art pop,C
6LQYtKNp3ZsJ9xOzVVUj5j,ギヴン,anime,I
6NyJIFHAePjHR1pFxwisqz,Kurupt,"g-funk, west coast hip hop, gangster rap, old school hip hop",M
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,classic rock,C
6QtgPSJPSzcnn7dPZ4VINp,King Von,"chicago drill, drill",M
6R3Zn2xPFisfiGQIrp4sKd,Phantom Youth,"dream pop, shoegaze",C
6SUbi1ZVEswHqRUWsxmq2m,Kinrose,"uk drill, drill",M
6T5tfhQCknKG4UnH90qGnz,DNCE,"pop, dance pop",M
6XZYAWJLL8UIbxAqjKj3cg,SOHN,"alternative, indie",C
6c9mrV72IOeJ5imCUK281g,Franz Gordon,indie,I
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,soft pop,M
6extd4B6hl8VTmnlhpl2bY,Huncho Jack,"trap, rap",M
6fFcUOFcbjeIuEomuUthkw,Oklou,hyperpop,I
6g0mn3tzAds6aVeUYRsryU,The War On Drugs,indie rock,C
6hG0VsXXlD10l60TqiIHIX,Ecco2k,hyperpop,I
6i392l38cR3uBPF0DbNs7S,Quality Control,"trap, hip hop",M
6icQOAFXDZKsumw3YXyusw,Lil Yachty,"melodic rap, rap","M, I"
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,"brooklyn drill, melodic rap",M
6lcwlkAjBPSKnFBZjjZFJs,Alex G,indie,"I, C"
6ngR3n1aQ7GLB5w46hqSWR,David Fray,classical,I
6oMuImdp5ZcFhWP0ESe6mG,Migos,trap,M
6olE6TJLqED3rqDCT0FyPh,Nirvana,rock,I
6rUez8y21xlLrYKExcXB1X,ISO Supremacy,dark r&b,M
6rX8AFY10dsJkJsv23Z9Um,Karnivool,"progressive metal, progressive rock, djent, alternative metal",C
6tIWNVs4HVdJCZai0rxYr4,Miriam Keogh,indie,I
6tYmTHApvspl6KAgTfHjAY,bar italia,lo-fi indie,C
6uCXq7IoXFqGSB3L5zX5oV,Trevor Spitta,"hip hop, rap",M
6zvul52xwTWzilBZl6BUbT,Pixies,alt,I
72NhFAGG5Pt91VbheJeEPG,2hollis,hyperpop,I
72X6FHxaShda0XeQw3vbeF,Slowdive,"shoegaze, dream pop, slowcore",C
72ltK39qT3DgtiCZgOAaGs,SNUPE BANDZ,"trap, southern hip hop",M
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,"hip-hop, rap, r&b",C
75dQReiBOHN37fQgWQrIAJ,Local Natives,indie,C
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,indie,"I, C"
77mJc3M7ZT5oOVM7gNdXim,Her's,indie,C
78SHxLdtysAXgywQ4vE0Oa,Bush,"grunge, post-grunge",C
78sEozQOEJxzXegUuqRSgH,Daniel Barenboim,classical,I
7CajNmpbOovFoOoasH2HaY,Calvin Harris,edm,M
7E74ReKi0BpodmTTNRY4nF,Vasilis Dokakis,"indie, alternative",C
7FPO7WTShHCXnmVv7lhhZM,Nana Grizol,folk,I
7GuUYiGZOzQwq4L6gAfy1T,SahBabii,melodic rap,M
7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,"witch house, electroclash, new rave, alternative dance",C
7KJSk2ytUFik1LGqFGHOLW,Clarion,shoegaze,C
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,indie,I
7bu3H8JO7d0UbMoVzbo70s,The Cure,"new wave, post-punk, gothic rock, darkwave",C
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"rap, hip hop",M
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,"rap, trap",M
7j1EFfyMGmNxaLNIrVAID4,Wray,"shoegaze, dream pop",C
7jXUQgHvIWbra34WkJcezO,None,vocal,I
7lRFrrINQTY35g8hq0kXY5,Johnny Hodges,jazz,I
7rkW85dBwwrJtlHRDkJDAC,NAV,melodic rap,M
7tTCdjIEm4DHFxgquKT18a,Markus Pawlik,classical,I
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,classical,I
